rank,ResNet18,MobileNetV3Large,Fusion_ResNet18_MobileNetV3Large
96,0.6852577630388905,0.7735905939101598,0.762737413325294
97,0.6888754899005125,0.7763038890563763,0.7663551401869159
98,0.6918902622851975,0.7802230931564667,0.7696713898100693
99,0.695809466385288,0.7844437744950257,0.7735905939101598
100,0.6991257160084413,0.7871570696412421,0.7766053662948448
101,0.7024419656315948,0.791980705456738,0.7811275248718722
102,0.7066626469701538,0.7940910461260174,0.7859511606873681
103,0.7090744648779017,0.7977087729876394,0.790171842025927
104,0.7145010551703347,0.8007235453723244,0.7922821826952066
105,0.7172143503165511,0.8016279770877299,0.7955984323183599
106,0.7202291227012361,0.8034368405185408,0.7986132047030449
107,0.723846849562858,0.8058486584262888,0.8001205908953875
108,0.7271630991860114,0.8079589990955682,0.8031353632800724
109,0.7292734398552909,0.8103708170033163,0.8061501356647574
110,0.7325896894784444,0.8124811576725958,0.8082604763340367
111,0.7359059391015979,0.8145914983418752,0.8097678625263792
112,0.7389207114862828,0.8164003617726862,0.8130841121495327
113,0.7416340066324992,0.8194151341573711,0.8160988845342176
114,0.7443473017787157,0.8227313837805246,0.8194151341573711
115,0.7476635514018691,0.826047633403678,0.8230328610189931
116,0.7503768465480857,0.8281579740729574,0.8269520651190835
117,0.753693096171239,0.830871269219174,0.8281579740729574
118,0.756707868555924,0.832680132649985,0.830871269219174
119,0.7594211637021405,0.8338860416038589,0.8323786554115165
120,0.7615315043714199,0.8378052457039493,0.8356949050346699
121,0.7657521857099789,0.8411214953271028,0.8378052457039493
122,0.7690684353331323,0.8438347904733192,0.8399155863732288
123,0.7705758215254749,0.8477539945734097,0.8414229725655713
124,0.7747965028640338,0.8492613807657522,0.8441362677117877
125,0.7778112752487187,0.8510702441965632,0.8462466083810672
126,0.7820319565872776,0.8543864938197167,0.8486584262888152
127,0.7847452517334941,0.8561953572505275,0.8501658124811576
128,0.787760024118179,0.8574012662044016,0.8525776303889057
129,0.7898703647874585,0.860114561350618,0.8540850165812481
130,0.791980705456738,0.8634308109737715,0.856496834488996
131,0.7946940006029545,0.864938197166114,0.8598130841121495
132,0.7977087729876394,0.866747060596925,0.861923424781429
133,0.8001205908953875,0.8694603557431414,0.8643352426891769
134,0.8037383177570093,0.8709677419354839,0.8661441061199879
135,0.8067530901416943,0.8733795598432318,0.868555924027736
136,0.8085619535725053,0.8751884232740428,0.8703647874585468
137,0.8121796804341272,0.8785046728971962,0.8733795598432318
138,0.8167018390111547,0.8803135363280072,0.8763943322279167
139,0.8191136569189026,0.8815194452818812,0.8791076273741333
140,0.8215254748266506,0.8833283087126922,0.8824238769972867
141,0.8221284293035875,0.8851371721435032,0.8839312631896292
142,0.8248417244498041,0.8884534217666566,0.8866445583358457
143,0.828459451311426,0.8893578534820621,0.8899608079589991
144,0.830871269219174,0.8917696713898101,0.8908652396744046
145,0.8332830871269219,0.8929755803436841,0.892372625866747
146,0.8372022912270124,0.893578534820621,0.8938800120590895
147,0.8387096774193549,0.894181489297558,0.895387398251432
148,0.8417244498040398,0.8950859210129635,0.897196261682243
149,0.8447392221887248,0.89779921615918,0.8984021706361169
150,0.8474525173349412,0.8993066023515225,0.8993066023515225
151,0.8495628580042207,0.9011154657823335,0.9011154657823335
152,0.8516731986735001,0.9038287609285499,0.9035272836900814
153,0.8543864938197167,0.9056376243593609,0.9053361471208924
154,0.8580042206813385,0.9065420560747663,0.9080494422671088
155,0.8598130841121495,0.9080494422671088,0.9101597829363883
156,0.863129333735303,0.9104612601748568,0.9107627374133253
157,0.8652396744045825,0.9131745553210733,0.9131745553210733
158,0.8670485378353934,0.9149834187518843,0.9149834187518843
159,0.8691588785046729,0.9170937594211637,0.9158878504672897
160,0.8715706964124209,0.9189026228519747,0.9173952366596322
161,0.8739825143201688,0.9198070545673802,0.9179981911365692
162,0.8779017184202593,0.9210129635212542,0.9192041000904432
163,0.8791076273741333,0.9219173952366596,0.9201085318058486
164,0.8815194452818812,0.9234247814290021,0.9228218269520652
165,0.8854386493819717,0.926439553813687,0.9237262586674706
166,0.8884534217666566,0.9291528489599036,0.9243292131444076
167,0.8899608079589991,0.9309617123907145,0.926439553813687
168,0.8920711486282785,0.93186614410612,0.9270425082906241
